CustomerID,Segment,Plan,ContractType,Region,tenure_months,MRR,LoginsPerMonth,DaysSinceLastLogin,FeaturesUsed,SupportTickets,NPSScore,CSATScore,NumProducts,StartDate,Churn
CUST-00001,SMB,Starter,Annual,North America,0.5,50.72,18.3,6,12,1,9,5,4,2021-10-12,0
CUST-00002,Enterprise,Pro,Multi-year,North America,0.5,3949.29,13.4,18,13,1,8,4,1,2021-02-02,0
CUST-00003,Mid-Market,Pro,Monthly,Europe,11.5,1029.03,8.3,10,18,2,7,3,4,2022-01-13,0
CUST-00004,Mid-Market,Starter,Annual,Europe,0.5,455.35,15.2,11,15,3,4,3,1,2021-07-21,0
CUST-00005,SMB,Starter,Monthly,APAC,66.1,68.98,20.9,13,15,2,2,4,5,2022-03-08,0
CUST-00006,SMB,Pro,Annual,LATAM,4.5,102.21,3.1,22,12,0,5,5,2,2021-10-18,0
CUST-00007,SMB,Starter,Monthly,North America,11.5,99.72,4.9,1,9,1,9,5,4,2022-03-17,0
CUST-00008,Enterprise,Enterprise,Annual,Europe,1.1,1844.8,3.0,23,19,0,7,5,1,2021-09-19,0
CUST-00009,Mid-Market,Pro,Annual,Europe,13.3,303.26,7.2,12,12,0,8,2,5,2021-02-04,0
CUST-00010,Mid-Market,Starter,Annual,LATAM,8.6,565.04,26.0,17,5,3,2,4,3,2021-04-08,0
CUST-00011,SMB,Pro,Annual,APAC,0.8,99.74,5.1,6,10,2,3,5,5,2021-02-15,0
CUST-00012,Enterprise,Pro,Annual,LATAM,7.3,2673.73,5.6,8,7,3,0,5,2,2022-03-04,0
CUST-00013,Mid-Market,Pro,Annual,North America,8.9,574.97,23.6,4,11,3,8,2,5,2021-06-30,0
CUST-00014,SMB,Starter,Annual,APAC,72.0,71.78,8.7,58,8,0,5,5,4,2021-05-31,1
CUST-00015,SMB,Starter,Monthly,North America,4.2,119.06,9.2,10,7,2,10,5,4,2021-08-19,0
CUST-00016,SMB,Pro,Monthly,North America,14.2,82.14,23.7,83,16,1,5,4,3,2022-02-08,1
CUST-00017,SMB,Starter,Monthly,LATAM,72.0,66.42,8.1,10,16,3,6,2,1,2022-04-08,0
CUST-00018,SMB,Starter,Annual,North America,28.3,74.42,13.7,4,14,2,7,1,5,2021-03-28,0
CUST-00019,SMB,Starter,Monthly,LATAM,72.0,39.79,1.1,11,15,1,6,5,3,2021-01-09,0
CUST-00020,SMB,Starter,Monthly,North America,62.1,74.38,2.4,1,9,1,9,3,4,2021-02-15,0
CUST-00021,Mid-Market,Pro,Monthly,APAC,12.1,658.51,6.2,35,16,2,10,4,1,2021-02-26,0
CUST-00022,SMB,Pro,Monthly,North America,21.5,91.65,8.2,26,16,1,0,5,1,2022-02-25,0
CUST-00023,SMB,Pro,Annual,North America,2.1,146.98,40.5,19,5,2,8,5,2,2022-05-10,0
CUST-00024,SMB,Starter,Annual,North America,10.5,72.01,42.3,14,3,0,8,5,4,2021-09-10,0
CUST-00025,SMB,Starter,Monthly,Europe,29.8,97.22,22.9,13,13,2,10,2,1,2022-02-27,0
CUST-00026,Mid-Market,Enterprise,Monthly,North America,12.7,686.57,4.6,86,8,1,6,5,2,2021-06-06,0
CUST-00027,SMB,Pro,Annual,Europe,21.8,204.21,39.9,5,17,2,4,2,2,2021-11-26,0
CUST-00028,SMB,Starter,Monthly,North America,24.6,84.77,14.0,23,5,0,8,1,4,2022-02-25,0
CUST-00029,Mid-Market,Pro,Annual,North America,5.3,329.29,6.0,13,6,1,7,2,1,2021-12-24,0
CUST-00030,SMB,Starter,Monthly,North America,37.5,112.3,14.5,56,2,0,9,4,1,2021-08-12,1
CUST-00031,Mid-Market,Pro,Monthly,North America,11.1,1054.58,0.2,26,14,2,10,5,5,2021-06-21,0
CUST-00032,SMB,Starter,Monthly,APAC,4.2,70.32,1.9,98,4,2,2,4,1,2021-10-18,1
CUST-00033,SMB,Pro,Annual,APAC,36.1,112.0,21.2,13,3,3,9,1,2,2021-06-04,0
CUST-00034,Enterprise,Enterprise,Annual,North America,9.7,3269.5,12.4,3,9,0,10,4,3,2021-01-19,0
CUST-00035,Enterprise,Enterprise,Multi-year,Europe,25.0,3004.09,5.4,11,18,0,10,2,4,2021-08-18,0
CUST-00036,Mid-Market,Enterprise,Monthly,APAC,14.3,525.75,8.3,19,12,0,9,3,3,2021-02-22,0
CUST-00037,SMB,Pro,Monthly,North America,8.7,60.5,28.3,22,9,1,9,4,1,2022-03-22,0
CUST-00038,SMB,Pro,Annual,North America,29.9,77.44,12.0,0,18,0,0,4,2,2021-01-08,0
CUST-00039,Mid-Market,Pro,Annual,Europe,15.8,600.67,6.1,11,13,3,10,4,3,2022-05-03,1
CUST-00040,SMB,Pro,Monthly,North America,8.9,115.04,1.5,4,14,4,6,4,4,2021-04-19,0
CUST-00041,SMB,Starter,Monthly,North America,2.1,91.43,4.2,31,10,2,0,3,5,2021-04-28,1
CUST-00042,SMB,Starter,Monthly,North America,40.6,68.72,46.0,2,3,1,7,5,3,2022-03-23,0
CUST-00043,SMB,Starter,Annual,Europe,0.7,99.9,6.9,16,7,1,9,4,5,2021-12-03,0
