customer_id,segment,plan,contract_type,region,tenure,mrr,logins_per_month,days_since_login,features_used,support_tickets,nps_score,csat_score,num_products,start_date,churn,login_tenure_ratio,support_burden,mrr_log,is_inactive_30d,is_inactive_60d,nps_bucket,is_detractor,is_new_customer,is_early_tenure,is_mature_tenure,churn_probability,risk_level,model_used
CUST-00785,SMB,Pro,Monthly,North America,12.3,48.27,9.8,19,12,4,2,1,3,2021-01-22,1,0.7967479674796748,0.3252032520325203,3.8973153765558717,0,0,Detractor,1,0,0,1,0.9711,High,xgboost
CUST-01561,SMB,Pro,Monthly,Europe,18.4,106.87,2.8,13,13,1,1,3,4,2021-07-24,1,0.15217391304347827,0.05434782608695653,4.680926798387338,0,0,Detractor,1,0,0,1,0.9705,High,xgboost
CUST-00032,SMB,Starter,Monthly,APAC,4.2,70.32,1.9,98,4,2,2,4,1,2021-10-18,1,0.45238095238095233,0.47619047619047616,4.267176792994939,1,1,Detractor,1,0,1,0,0.9682,High,xgboost
CUST-01304,SMB,Pro,Annual,North America,1.7,65.0,1.9,14,12,3,6,5,2,2021-06-14,1,1.1176470588235294,1.7647058823529411,4.189654742026425,0,0,Detractor,1,1,0,0,0.9668,High,xgboost
CUST-00702,SMB,Pro,Monthly,North America,1.0,71.41,10.8,21,4,0,0,3,4,2021-10-17,1,10.8,0.0,4.28234441140073,0,0,Detractor,1,1,0,0,0.9653,High,xgboost
CUST-00388,SMB,Pro,Monthly,Europe,20.1,84.12,8.5,23,12,2,2,4,1,2021-11-28,1,0.42288557213930345,0.09950248756218905,4.444062025593334,0,0,Detractor,1,0,0,1,0.9637,High,xgboost
CUST-00410,SMB,Pro,Annual,North America,41.5,64.67,1.0,24,13,2,1,4,3,2021-03-29,1,0.024096385542168676,0.04819277108433735,4.184642200202881,0,0,Detractor,1,0,0,1,0.9616,High,xgboost
CUST-00185,SMB,Starter,Monthly,Europe,2.7,56.85,5.7,20,6,2,1,2,3,2021-12-11,1,2.111111111111111,0.7407407407407407,4.0578534536396855,0,0,Detractor,1,1,0,0,0.9445,High,xgboost
CUST-00845,SMB,Pro,Monthly,APAC,18.1,69.04,18.8,8,3,1,2,4,3,2021-12-18,1,1.0386740331491713,0.055248618784530384,4.249066507417651,0,0,Detractor,1,0,0,1,0.942,High,xgboost
CUST-01867,SMB,Starter,Annual,APAC,1.5,84.75,3.0,2,12,2,2,4,3,2021-02-23,1,2.0,1.3333333333333333,4.45143608604605,0,0,Detractor,1,1,0,0,0.9364,High,xgboost
CUST-01411,SMB,Starter,Monthly,Europe,5.0,80.55,29.6,5,1,2,0,1,5,2021-11-15,1,5.92,0.4,4.401216329067023,0,0,Detractor,1,0,1,0,0.9326,High,xgboost
CUST-00611,SMB,Pro,Monthly,North America,7.6,46.0,8.5,28,5,0,2,1,1,2021-01-02,1,1.118421052631579,0.0,3.8501476017100584,0,0,Detractor,1,0,1,0,0.9318,High,xgboost
CUST-01583,Mid-Market,Enterprise,Annual,North America,2.0,336.39,8.0,41,5,2,5,4,1,2022-02-01,1,4.0,1.0,5.82123953126126,1,0,Detractor,1,1,0,0,0.931,High,xgboost
CUST-00810,SMB,Starter,Monthly,LATAM,1.3,160.71,5.9,1,13,1,2,3,4,2021-10-08,1,4.538461538461538,0.7692307692307692,5.085804607589853,0,0,Detractor,1,1,0,0,0.9299,High,xgboost
CUST-00500,Enterprise,Enterprise,Annual,Europe,39.2,973.2,0.2,19,2,2,1,3,5,2021-05-12,1,0.00510204081632653,0.0510204081632653,6.881616621372443,0,0,Detractor,1,0,0,1,0.9288,High,xgboost
CUST-00176,SMB,Starter,Annual,APAC,6.0,88.28,9.9,37,7,1,4,1,2,2021-09-07,1,1.6500000000000001,0.16666666666666666,4.491777498633001,1,0,Detractor,1,0,1,0,0.9282,High,xgboost
CUST-00030,SMB,Starter,Monthly,North America,37.5,112.3,14.5,56,2,0,9,4,1,2021-08-12,1,0.38666666666666666,0.0,4.730039168033961,1,0,Promoter,0,0,0,1,0.924,High,xgboost
CUST-01446,SMB,Pro,Annual,North America,2.0,147.37,6.5,7,2,3,5,4,2,2022-03-02,1,3.25,1.5,4.999709153962702,0,0,Detractor,1,1,0,0,0.9229,High,xgboost
CUST-01098,SMB,Starter,Monthly,Europe,4.7,91.92,9.7,66,8,3,7,4,2,2021-03-14,1,2.0638297872340425,0.6382978723404255,4.531738907902208,1,1,Passive,0,0,1,0,0.9198,High,xgboost
CUST-00704,SMB,Starter,Annual,Europe,15.5,101.86,2.8,12,12,2,4,4,4,2021-05-21,1,0.18064516129032257,0.12903225806451613,4.63336884034677,0,0,Detractor,1,0,0,1,0.9185,High,xgboost
CUST-01324,SMB,Pro,Monthly,APAC,0.5,79.71,1.1,66,11,2,0,5,4,2021-07-21,1,1.1,2.0,4.390862483336281,1,1,Detractor,1,1,0,0,0.9166,High,xgboost
CUST-01486,SMB,Starter,Annual,APAC,6.5,46.48,5.7,21,10,5,0,4,2,2021-04-29,1,0.8769230769230769,0.7692307692307693,3.860308569741467,0,0,Detractor,1,0,1,0,0.9166,High,xgboost
CUST-01809,SMB,Starter,Monthly,APAC,6.0,61.14,2.9,21,5,2,3,4,1,2021-11-30,0,0.48333333333333334,0.3333333333333333,4.129389903964901,0,0,Detractor,1,0,1,0,0.9141,High,xgboost
CUST-01657,Mid-Market,Pro,Annual,North America,1.1,374.82,2.4,3,5,3,0,1,4,2021-07-22,1,2.1818181818181817,2.727272727272727,5.929110305361006,0,0,Detractor,1,1,0,0,0.913,High,xgboost
CUST-01014,SMB,Starter,Monthly,Europe,2.2,85.31,2.4,6,13,1,9,5,1,2021-11-01,1,1.0909090909090908,0.45454545454545453,4.457945466231566,0,0,Promoter,0,1,0,0,0.9125,High,xgboost
CUST-00731,SMB,Starter,Monthly,LATAM,15.5,97.83,1.5,66,2,2,8,4,1,2022-02-18,1,0.0967741935483871,0.12903225806451613,4.593401202388092,1,1,Passive,0,0,0,1,0.9103,High,xgboost
CUST-01355,SMB,Starter,Monthly,North America,5.6,83.52,15.1,1,7,3,7,3,1,2021-03-07,1,2.6964285714285716,0.5357142857142857,4.436988192747856,0,0,Passive,0,0,1,0,0.9103,High,xgboost
CUST-01614,SMB,Starter,Monthly,North America,8.3,173.17,14.2,16,12,3,2,3,4,2022-01-06,1,1.7108433734939756,0.36144578313253006,5.160031833743694,0,0,Detractor,1,0,1,0,0.9097,High,xgboost
CUST-00445,Mid-Market,Pro,Monthly,North America,1.8,419.67,5.0,20,17,1,0,4,5,2021-02-12,1,2.7777777777777777,0.5555555555555556,6.041848678331924,0,0,Detractor,1,1,0,0,0.9096,High,xgboost
CUST-00016,SMB,Pro,Monthly,North America,14.2,82.14,23.7,83,16,1,5,4,3,2022-02-08,1,1.6690140845070423,0.07042253521126761,4.420525933824491,1,1,Detractor,1,0,0,1,0.9093,High,xgboost
CUST-01370,SMB,Pro,Monthly,North America,4.4,134.24,0.0,21,16,5,6,4,3,2021-12-21,1,0.0,1.1363636363636362,4.907050977839686,0,0,Detractor,1,0,1,0,0.909,High,xgboost
CUST-01948,SMB,Pro,Monthly,Europe,15.4,98.02,6.2,38,19,0,10,5,2,2021-02-01,1,0.4025974025974026,0.0,4.595321849933277,1,0,Promoter,0,0,0,1,0.9077,High,xgboost
CUST-00488,SMB,Starter,Monthly,APAC,12.9,63.85,5.7,15,11,3,5,5,3,2021-08-30,1,0.4418604651162791,0.23255813953488372,4.172076910762453,0,0,Detractor,1,0,0,1,0.9072,High,xgboost
CUST-01060,Mid-Market,Pro,Annual,North America,1.5,665.88,0.8,7,9,3,6,3,2,2021-04-19,1,0.5333333333333333,2.0,6.502610119684893,0,0,Detractor,1,1,0,0,0.9055,High,xgboost
CUST-01216,SMB,Starter,Monthly,Europe,8.7,155.07,1.6,8,8,3,1,4,4,2021-11-08,1,0.18390804597701152,0.3448275862068966,5.050304624554462,0,0,Detractor,1,0,1,0,0.9051,High,xgboost
